Global Volcanism Program - Volcanoes of the World 5.1.7,,,,Downloaded on 31 May 2024 at 03:19 PM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
352090,Sangay,22237,Confirmed Eruption,Summit crater,2,,,2016,,3,,17,2,Observations: Satellite (infrared),,2016,,11,,17,,-2.005,-78.341
357070,"Chillan, Nevados de",22119,Confirmed Eruption,Nicanor crater,2,,,2016,,1,,8,,Observations: Reported,,2022,,10,,17,,-36.868,-71.378
355100,Lascar,22110,Confirmed Eruption,Summit craters,2,,,2015,,10,,30,,Observations: Reported,,2017,,4,,2,1,-23.37,-67.73
357090,Copahue,21098,Confirmed Eruption,Agrio Crater,2,,,2015,,9,,18,3,Observations: Reported,,2017,,2,,22,,-37.856,-71.183
352050,Cotopaxi,21088,Confirmed Eruption,Summit crater,2,,,2015,,8,,14,,Observations: Reported,,2016,,1,,24,,-0.677,-78.436
353020,Wolf,21075,Confirmed Eruption,"a fissure on the SE edge of the caldera, on the NE, E, and SE flanks, and within the summit caldera",4,,,2015,,5,,25,,Observations: Reported,,2015,,7,,16,,0.02,-91.35
358020,Calbuco,21076,Confirmed Eruption,Summit crater,4,,,2015,,4,,22,,Observations: Reported,,2015,,5,,26,,-41.33,-72.618
354006,Sabancaya,21089,Confirmed Eruption,Summit crater,1,,,2015,,3,,8,,Observations: Aviation,,2015,,12,,12,,-15.787,-71.857
352090,Sangay,22236,Confirmed Eruption,Summit crater complex,2,,,2015,,1,,18,,Observations: Reported,,2015,,4,,7,,-2.005,-78.341
357120,Villarrica,20996,Confirmed Eruption,Summit crater,3,,,2014,,12,,2,7,Observations: Reported,>,2024,,4,,19,,-39.42,-71.93
351020,"Ruiz, Nevado del",20995,Confirmed Eruption,Arenas crater,2,,,2014,,11,,18,,Observations: Reported,>,2024,,4,,19,,4.892,-75.324
357090,Copahue,20954,Confirmed Eruption,El Agrio Crater,1,,,2014,,7,,4,,Observations: Reported,,2014,,12,,2,,-37.856,-71.183
354020,Ubinas,20832,Confirmed Eruption,Summit crater,2,,,2013,,9,,1,,Observations: Reported,,2016,,2,,27,,-16.345,-70.8972
357120,Villarrica,20838,Confirmed Eruption,Summit crater,1,,,2013,,7,,25,,Observations: Reported,,2013,,7,?,29,,-39.42,-71.93
355100,Lascar,20789,Confirmed Eruption,Central active crater,1,,,2013,,4,,2,,Observations: Reported,,2013,,11,,20,,-23.37,-67.73
352090,Sangay,22235,Confirmed Eruption,Summit crater complex,2,,,2013,,1,,25,,Observations: Reported,,2013,,5,,24,,-2.005,-78.341
357090,Copahue,20760,Confirmed Eruption,Agrio Crater,2,,,2012,,12,,22,,Observations: Reported,,2013,,12,,10,,-37.856,-71.183
352080,Tungurahua,22215,Confirmed Eruption,Summit crater,3,,,2012,,12,,14,,Observations: Reported,,2016,,3,,16,,-1.467,-78.442
357090,Copahue,22507,Confirmed Eruption,El Agrio Crater,2,,,2012,,7,,17,,Observations: Reported,,2012,,7,,19,,-37.856,-71.183
351080,Galeras,20764,Confirmed Eruption,Summit crater,2,,,2012,,5,,13,,Observations: Reported,,2014,,1,,30,1,1.22,-77.37
351020,"Ruiz, Nevado del",20814,Confirmed Eruption,Arenas Crater,3,,,2012,,2,,22,,Observations: Reported,,2013,,7,?,12,,4.892,-75.324
352080,Tungurahua,22506,Confirmed Eruption,Summit crater,,,,2011,,11,,27,,Observations: Reported,,2012,,9,,4,,-1.467,-78.442
358057,"Hudson, Cerro",20770,Confirmed Eruption,S and SE edge of the caldera,2,,,2011,,10,,26,,Observations: Reported,,2011,,11,,1,,-45.9,-72.97
352090,Sangay,22234,Confirmed Eruption,Summit crater complex,2,,,2011,,6,,6,,Observations: Reported,,2012,,9,,19,,-2.005,-78.341
357150,Puyehue-Cordon Caulle,20809,Confirmed Eruption,"Cordón Caulle, N of the 1960 eruption fissure",5,,,2011,,6,,4,,Observations: Reported,,2012,,4,?,21,,-40.59,-72.117
352080,Tungurahua,22214,Confirmed Eruption,Summit crater,2,,,2011,,4,,20,,Observations: Reported,,2011,,5,,26,,-1.467,-78.442
357040,Planchon-Peteroa,20808,Confirmed Eruption,Peteroa,2,,,2011,,2,,17,,Observations: Reported,,2011,,6,,26,1,-35.223,-70.568
352080,Tungurahua,11645,Confirmed Eruption,Summit crater,3,?,,2010,,11,,22,,Observations: Reported,,2011,,1,,2,,-1.467,-78.442
357040,Planchon-Peteroa,11947,Confirmed Eruption,Peteroa,2,,,2010,,9,,6,,Observations: Reported,,2010,,10,,13,,-35.223,-70.568
351080,Galeras,11381,Confirmed Eruption,Central cone,1,,,2010,,8,,25,,Observations: Reported,,2010,,8,,25,,1.22,-77.37
352080,Tungurahua,11644,Confirmed Eruption,Summit crater,3,,,2010,,1,,1,,Observations: Reported,,2010,,8,,1,,-1.467,-78.442
357120,Villarrica,12184,Confirmed Eruption,,1,,,2009,,11,,22,,Observations: Reported,,2012,,4,,20,,-39.42,-71.93
353010,Fernandina,11677,Confirmed Eruption,SW flank (400 m),2,,,2009,,4,,10,,Observations: Reported,,2009,,4,?,28,,-0.37,-91.55
357120,Villarrica,12183,Confirmed Eruption,,1,,,2009,,1,,29,,Observations: Reported,,2009,,3,?,24,,-39.42,-71.93
351050,"Huila, Nevado del",11314,Confirmed Eruption,Upper SW side of Pico Central,3,?,,2008,,10,?,26,,Observations: Reported,,2012,,1,?,14,,2.93,-76.03
357120,Villarrica,12182,Confirmed Eruption,,1,,,2008,,10,,26,,Observations: Reported,,,,,,,,-39.42,-71.93
351080,Galeras,11380,Confirmed Eruption,,3,,,2008,,10,?,21,,Observations: Reported,,2010,,1,?,2,,1.22,-77.37
352010,Reventador,11449,Confirmed Eruption,,2,,,2008,,7,,27,,Observations: Reported,>,2024,,4,,19,,-0.077,-77.656
353060,"Azul, Cerro",11720,Confirmed Eruption,Summit and SE flank,1,?,,2008,,5,,29,,Observations: Reported,,2008,,6,,17,,-0.92,-91.408
358041,Chaiten,12271,Confirmed Eruption,,4,,,2008,,5,,2,,Observations: Reported,,2011,,5,,31,3,-42.8349,-72.6514
351050,"Huila, Nevado del",11313,Confirmed Eruption,,2,?,,2008,,1,,2,,Observations: Reported,,2008,,4,?,16,15,2.93,-76.03
357110,Llaima,12077,Confirmed Eruption,Summit and upper east flank,3,,,2008,,1,,1,,Observations: Reported,,2009,,6,,12,4,-38.692,-71.729
351080,Galeras,11379,Confirmed Eruption,,3,?,,2007,,10,,4,,Observations: Reported,,2008,,1,,17,,1.22,-77.37
357110,Llaima,12076,Confirmed Eruption,,2,,,2007,,5,,26,,Observations: Reported,,2007,,8,?,8,,-38.692,-71.729
352010,Reventador,11448,Confirmed Eruption,,2,,,2007,,3,,15,7,Observations: Reported,,2007,,10,?,11,,-0.077,-77.656
351050,"Huila, Nevado del",11312,Confirmed Eruption,,3,?,,2007,,2,,19,,Observations: Reported,,2007,,5,?,28,,2.93,-76.03
355100,Lascar,11878,Confirmed Eruption,,3,,,2006,,4,,18,,Observations: Reported,,2007,,7,?,18,,-23.37,-67.73
354020,Ubinas,11791,Confirmed Eruption,,2,,,2006,,3,?,25,,Observations: Reported,,2009,,7,?,4,,-16.345,-70.8972
351080,Galeras,11378,Confirmed Eruption,,2,,,2005,,11,,24,,Observations: Reported,,2006,,7,,12,,1.22,-77.37
353050,"Negra, Sierra",11713,Confirmed Eruption,North caldera rim,3,,,2005,,10,,22,,Observations: Reported,,2005,,10,,30,,-0.83,-91.17
353010,Fernandina,11676,Confirmed Eruption,South caldera rim,2,,,2005,,5,,13,,Observations: Reported,,2005,,5,?,29,,-0.37,-91.55
355100,Lascar,11877,Confirmed Eruption,,3,?,,2005,,5,,4,,Observations: Reported,,2005,,5,,4,,-23.37,-67.73
352010,Reventador,11447,Confirmed Eruption,,2,,,2004,,11,,7,3,Observations: Reported,,2006,,3,,16,15,-0.077,-77.656
357120,Villarrica,12181,Confirmed Eruption,,1,,,2004,,8,?,5,,Observations: Reported,,2007,,12,?,24,,-39.42,-71.93
351080,Galeras,11377,Confirmed Eruption,El Pinta vent,3,,,2004,,7,,16,,Observations: Reported,,2005,,2,?,7,,1.22,-77.37
357070,"Chillan, Nevados de",11992,Confirmed Eruption,Saddle between Nuevo & Arrau volcanoes,1,,,2003,,8,,29,,Observations: Reported,,2003,,9,,15,5,-36.868,-71.378
354006,Sabancaya,11752,Confirmed Eruption,,2,?,,2003,,7,,30,1,Observations: Reported,,2003,,7,?,31,,-15.787,-71.857
357120,Villarrica,12180,Confirmed Eruption,,1,,,2003,,5,?,23,,Observations: Reported,,2004,,3,?,25,,-39.42,-71.93
357110,Llaima,12075,Confirmed Eruption,,2,,,2003,,4,,9,,Observations: Reported,,2003,,4,>,16,,-38.692,-71.729
352010,Reventador,11446,Confirmed Eruption,Summit and SE flank (2600 m),4,,,2002,,11,,3,,Observations: Reported,,2003,,1,?,10,,-0.077,-77.656
355100,Lascar,11875,Confirmed Eruption,,2,,,2002,,10,,26,,Observations: Reported,,2002,,10,,27,,-23.37,-67.73
357110,Llaima,12074,Confirmed Eruption,,1,,,2002,,10,,13,12,Observations: Reported,,,,,,,,-38.692,-71.729
352020,Guagua Pichincha,11499,Confirmed Eruption,,1,?,,2002,,10,,11,,Observations: Reported,,2002,,12,,7,,-0.171,-78.598
351080,Galeras,11376,Confirmed Eruption,El Pinta vent,1,?,,2002,,6,,7,,Observations: Reported,,2002,,6,?,7,,1.22,-77.37
352020,Guagua Pichincha,11498,Confirmed Eruption,,1,?,,2002,,4,,16,15,Observations: Reported,,2002,,4,,16,15,-0.171,-78.598
352020,Guagua Pichincha,11497,Confirmed Eruption,North of 1981 crater,1,?,,2001,,11,,26,,Observations: Reported,,2001,,11,,26,,-0.171,-78.598
355100,Lascar,11873,Confirmed Eruption,,2,,,2000,,7,,20,,Observations: Reported,,2001,,1,?,18,,-23.37,-67.73
357090,Copahue,12011,Confirmed Eruption,Agrio Crater,2,,,2000,,7,,1,,Observations: Reported,,2000,,10,,18,,-37.856,-71.183
354006,Sabancaya,11751,Confirmed Eruption,,2,,,2000,,4,?,16,15,Observations: Reported,,2000,,10,>,29,,-15.787,-71.857
351080,Galeras,11375,Confirmed Eruption,,1,,,2000,,3,,21,,Observations: Reported,,2000,,5,,18,,1.22,-77.37
352080,Tungurahua,11643,Confirmed Eruption,,3,,,1999,,10,,5,,Observations: Reported,,2009,,7,,8,7,-1.467,-78.442
357040,Planchon-Peteroa,11946,Confirmed Eruption,,1,,,1998,,11,,18,,Observations: Reported,,1998,,11,,21,,-35.223,-70.568
357110,Llaima,12073,Confirmed Eruption,,2,,,1998,,11,,10,3,Observations: Reported,,,,,,,,-38.692,-71.729
353060,"Azul, Cerro",11729,Confirmed Eruption,"N & W caldera floor, SE flank (630-680 m)",1,,,1998,,9,,15,,Observations: Reported,,1998,,10,,21,,-0.92,-91.408
352020,Guagua Pichincha,11496,Confirmed Eruption,West and SE of 1981 crater,3,,,1998,,8,,7,,Observations: Reported,,2001,,5,,25,,-0.171,-78.598
357110,Llaima,12072,Confirmed Eruption,,2,?,,1998,,4,,3,,Observations: Reported,,1998,,4,?,23,,-38.692,-71.729
357120,Villarrica,12179,Confirmed Eruption,,1,,,1998,,2,,24,4,Observations: Reported,,2002,,6,?,16,15,-39.42,-71.93
352020,Guagua Pichincha,11495,Confirmed Eruption,1981 crater,1,,,1997,,3,,16,15,Observations: Reported,,1997,,10,,18,,-0.171,-78.598
357110,Llaima,12071,Confirmed Eruption,,1,,,1997,,3,?,16,15,Observations: Reported,,1997,,10,?,16,15,-38.692,-71.729
355100,Lascar,11872,Confirmed Eruption,,2,,,1996,,10,,18,,Observations: Reported,,1996,,10,,18,,-23.37,-67.73
357120,Villarrica,12178,Confirmed Eruption,,1,,,1996,,9,,14,,Observations: Reported,,1997,,8,,16,15,-39.42,-71.93
334070,Galapagos Rift,10348,Confirmed Eruption,,0,,,1996,6,7,,2,182,Observations: Reported,,,,,,,,0.792,-86.15
357120,Villarrica,12174,Confirmed Eruption,,1,,,1996,,1,,16,15,Observations: Reported,,,,,,,,-39.42,-71.93
357110,Llaima,12070,Confirmed Eruption,,2,?,,1995,,10,,13,,Observations: Reported,,1995,,10,>,22,,-38.692,-71.729
357090,Copahue,12010,Confirmed Eruption,Agrio Crater,2,,,1995,,9,,16,15,Observations: Reported,,,,,,,,-37.856,-71.183
355040,Irruputuncu,11828,Confirmed Eruption,,2,,,1995,,9,,1,,Observations: Reported,,1995,,9,,26,,-20.73,-68.55
357120,Villarrica,12173,Confirmed Eruption,,1,,,1995,,4,,15,5,Observations: Reported,,1995,,6,>,2,,-39.42,-71.93
353010,Fernandina,11675,Confirmed Eruption,SW flank,2,,,1995,,1,,25,,Observations: Reported,,1995,,4,?,8,,-0.37,-91.55
357090,Copahue,12009,Confirmed Eruption,Agrio Crater,2,,,1994,,12,,16,15,Observations: Reported,,,,,,,,-37.856,-71.183
355100,Lascar,11871,Confirmed Eruption,,2,,,1994,,11,,13,,Observations: Reported,,1995,,7,,20,,-23.37,-67.73
357120,Villarrica,12172,Confirmed Eruption,,1,,,1994,,9,,26,,Observations: Reported,,1994,,12,,30,,-39.42,-71.93
355100,Lascar,11870,Confirmed Eruption,,2,,,1994,,7,,20,,Observations: Reported,,1994,,7,,26,,-23.37,-67.73
357110,Llaima,12069,Confirmed Eruption,"SE side summit crater, upper SW flank",2,,,1994,,5,,17,,Observations: Reported,,1994,,8,,30,,-38.692,-71.729
355100,Lascar,11869,Confirmed Eruption,,2,,,1993,,12,,17,,Observations: Reported,,1994,,2,,27,,-23.37,-67.73
353040,Alcedo,11696,Confirmed Eruption,South caldera wall,1,,,1993,,12,,5,20,Observations: Reported,,,,,,,,-0.43,-91.12
352020,Guagua Pichincha,11494,Confirmed Eruption,1981 crater,1,,,1993,,3,,9,,Observations: Reported,,1993,,3,,12,,-0.171,-78.598
355100,Lascar,11868,Confirmed Eruption,Western crater of east summit cone,4,,,1993,,1,,30,,Observations: Reported,,1993,,8,,16,15,-23.37,-67.73
351080,Galeras,11374,Confirmed Eruption,"Summit crater, west, SW, & south rims",2,,,1993,,1,,14,,Observations: Reported,,1993,,6,,7,,1.22,-77.37
357120,Villarrica,12171,Confirmed Eruption,,1,,,1992,,9,,11,,Observations: Reported,,1992,,12,>,16,15,-39.42,-71.93
357110,Llaima,12068,Confirmed Eruption,,1,,,1992,,8,,23,,Observations: Reported,,1992,,9,,2,,-38.692,-71.729
357090,Copahue,12008,Confirmed Eruption,Agrio Crater,2,,,1992,,7,,22,,Observations: Reported,,1993,,7,,2,182,-37.856,-71.183
355100,Lascar,11867,Confirmed Eruption,,2,,,1991,,10,,21,,Observations: Reported,,1992,,5,?,23,,-23.37,-67.73
353080,Marchena,11730,Confirmed Eruption,West to SW caldera rim,2,,,1991,,9,,25,,Observations: Reported,,1991,,11,?,16,15,0.33,-90.47
357120,Villarrica,12170,Confirmed Eruption,,2,,,1991,,8,,30,,Observations: Reported,,1991,,9,,17,,-39.42,-71.93
358057,"Hudson, Cerro",12299,Confirmed Eruption,NW caldera rim and SW caldera floor,5,+,,1991,,8,,8,,Observations: Reported,,1991,,10,,27,,-45.9,-72.97
353010,Fernandina,11674,Confirmed Eruption,Base of ESE and NW caldera wall,2,?,,1991,,4,,19,,Observations: Reported,,1991,,4,,24,,-0.37,-91.55
357040,Planchon-Peteroa,11945,Confirmed Eruption,Peteroa,2,,,1991,,2,,9,,Observations: Reported,,1991,,3,,2,2,-35.223,-70.568
355100,Lascar,11866,Confirmed Eruption,,1,,,1990,,11,,24,,Observations: Reported,,1990,,11,,24,,-23.37,-67.73
357150,Puyehue-Cordon Caulle,12216,Confirmed Eruption,Cordón Caulle,1,,,1990,,7,,2,182,Observations: Reported,,,,,,,,-40.59,-72.117
354006,Sabancaya,11750,Confirmed Eruption,,3,,,1990,,5,,28,,Observations: Reported,,1998,,9,?,16,15,-15.787,-71.857
352020,Guagua Pichincha,11493,Confirmed Eruption,1981 crater,1,,,1990,,4,,16,,Observations: Reported,,1990,,5,,10,,-0.171,-78.598
357110,Llaima,12067,Confirmed Eruption,,1,,,1990,,2,,25,,Observations: Reported,,1990,,11,,25,,-38.692,-71.729
351080,Galeras,11373,Confirmed Eruption,,2,,,1990,,1,,7,,Observations: Reported,,1992,,7,,16,,1.22,-77.37
351080,Galeras,11372,Confirmed Eruption,El Pinta vent,2,,,1989,,2,,19,,Observations: Reported,,1989,,5,,9,,1.22,-77.37
357100,Lonquimay,12016,Confirmed Eruption,NE flank (Navidad Crater),3,,,1988,,12,,25,,Observations: Reported,,1990,,1,,24,1,-38.379,-71.586
353010,Fernandina,11673,Confirmed Eruption,East caldera wall,2,?,,1988,,9,,14,,Observations: Reported,,1988,,9,,16,,-0.37,-91.55
354006,Sabancaya,11749,Confirmed Eruption,,1,,,1988,,6,,22,,Observations: Reported,,1988,,10,?,16,15,-15.787,-71.857
357010,Tupungatito,11899,Confirmed Eruption,,2,,,1987,,11,,28,,Observations: Reported,,1987,,11,,30,,-33.425,-69.797
355100,Lascar,11865,Confirmed Eruption,Western crater of east summit cone,3,,,1987,,11,<,16,15,Observations: Reported,,1990,,4,,6,,-23.37,-67.73
354006,Sabancaya,11747,Confirmed Eruption,,1,,,1986,,12,,16,15,Observations: Reported,,,,,,,,-15.787,-71.857
355100,Lascar,11864,Confirmed Eruption,Western crater of east summit cone,3,,,1986,,9,,14,,Observations: Reported,,1986,,9,,16,,-23.37,-67.73
357010,Tupungatito,11898,Confirmed Eruption,NW craters,1,,,1986,,1,,20,,Observations: Reported,,1986,,1,,20,,-33.425,-69.797
351020,"Ruiz, Nevado del",11290,Confirmed Eruption,Arenas Crater,3,,,1985,,9,,11,,Observations: Reported,,1991,,7,,13,,4.892,-75.324
354010,"Misti, El",11774,Confirmed Eruption,,1,?,,1985,,7,,2,182,Observations: Reported,,,,,,,,-16.294,-71.409
352020,Guagua Pichincha,11492,Confirmed Eruption,1981 crater,1,,,1985,,5,,16,15,Observations: Reported,,1985,,6,,16,15,-0.171,-78.598
351020,"Ruiz, Nevado del",11289,Confirmed Eruption,Arenas Crater,1,,,1984,,12,,22,,Observations: Reported,,1985,,3,?,19,,4.892,-75.324
355100,Lascar,11863,Confirmed Eruption,Western crater of east summit cone,0,,,1984,,12,,16,15,Observations: Reported,,1985,,7,,16,15,-23.37,-67.73
357120,Villarrica,12169,Confirmed Eruption,,2,,,1984,,8,,11,,Observations: Reported,,1985,,11,,18,,-39.42,-71.93
357110,Llaima,12066,Confirmed Eruption,,2,,,1984,,4,,20,,Observations: Reported,,1984,,11,,26,,-38.692,-71.729
353010,Fernandina,11672,Confirmed Eruption,NW corner of caldera,1,,,1984,,3,,30,,Observations: Reported,,,,,,,,-0.37,-91.55
357120,Villarrica,12168,Confirmed Eruption,,1,,,1983,,10,,14,,Observations: Reported,,1983,,10,,16,,-39.42,-71.93
353020,Wolf,11690,Confirmed Eruption,Caldera and SE flank (875 m),1,,,1982,,8,,28,,Observations: Reported,,1982,,9,?,6,,0.02,-91.35
352020,Guagua Pichincha,11491,Confirmed Eruption,NE side of 1660 lava dome,1,,,1981,,8,,31,5,Observations: Reported,,1982,,11,?,16,15,-0.171,-78.598
353010,Fernandina,11671,Confirmed Eruption,South caldera rim,0,,,1981,,8,,1,270,Observations: Reported,,,,,,,,-0.37,-91.55
357091,Callaqui,11997,Confirmed Eruption,,1,,,1980,,10,,16,15,Observations: Reported,,1980,,10,,16,15,-37.92,-71.45
357120,Villarrica,12167,Confirmed Eruption,,2,,,1980,,6,,20,,Observations: Reported,,1980,,9,,24,,-39.42,-71.93
357010,Tupungatito,20561,Confirmed Eruption,SW crater,2,,,1980,,1,,10,,Observations: Reported,,1980,,1,,11,,-33.425,-69.797
353050,"Negra, Sierra",11712,Confirmed Eruption,Upper NW and NE flanks (Volcán Chico),3,,,1979,,11,,13,,Observations: Reported,,1980,,1,>,14,,-0.83,-91.17
357110,Llaima,12065,Confirmed Eruption,,2,,,1979,,10,,15,,Observations: Reported,,1979,,11,,28,,-38.692,-71.729
357140,Carran-Los Venados,12189,Confirmed Eruption,Mirador,2,,,1979,,4,,14,,Observations: Reported,,1979,,5,,20,,-40.35,-72.07
358060,Lautaro,12322,Confirmed Eruption,,2,?,,1979,,3,<,8,,Observations: Reported,,,,,,,,-49.019,-73.504
353060,"Azul, Cerro",11728,Confirmed Eruption,East flank (300 m) and summit,2,?,,1979,,1,,29,,Observations: Reported,,1979,,3,>,4,,-0.92,-91.408
353010,Fernandina,11670,Confirmed Eruption,NW caldera bench,2,,,1978,,8,,8,,Observations: Reported,,1978,,8,,26,,-0.37,-91.55
358060,Lautaro,12321,Confirmed Eruption,,1,,,1978,,6,,16,15,Observations: Reported,,,,,,,,-49.019,-73.504
353010,Fernandina,11669,Confirmed Eruption,SE caldera bench,1,,,1977,,3,,23,,Observations: Reported,,1977,,3,,27,,-0.37,-91.55
351060,Purace,11339,Confirmed Eruption,,2,,,1977,,3,,19,,Observations: Reported,,1977,,3,?,28,,2.32,-76.4
357120,Villarrica,12166,Confirmed Eruption,,1,,,1977,,1,,26,,Observations: Reported,,1977,,1,,30,,-39.42,-71.93
352010,Reventador,11445,Confirmed Eruption,,2,,,1976,,1,,4,,Observations: Reported,,1976,,5,,16,15,-0.077,-77.656
351080,Galeras,11371,Confirmed Eruption,,1,?,,1974,,7,,2,182,Observations: Reported,,1983,,7,?,2,182,1.22,-77.37
353010,Fernandina,11668,Confirmed Eruption,ESE caldera wall,2,,,1973,,12,,9,,Observations: Reported,,1973,,12,,16,1,-0.37,-91.55
352010,Reventador,11444,Confirmed Eruption,,3,,,1973,,11,,16,15,Observations: Reported,,1974,,7,,16,15,-0.077,-77.656
357070,"Chillan, Nevados de",11991,Confirmed Eruption,Volcán Arrau (SE flank of Volcán Nuevo),2,,,1973,,7,,16,15,Observations: Reported,,1986,,7,,2,182,-36.868,-71.378
358020,Calbuco,12263,Confirmed Eruption,,2,,,1972,,8,,26,,Observations: Reported,,1972,,8,,26,,-41.33,-72.618
352010,Reventador,11443,Confirmed Eruption,,2,,,1972,,7,,16,15,Observations: Reported,,1972,,9,,16,15,-0.077,-77.656
358060,Lautaro,12320,Confirmed Eruption,,1,,,1972,,7,,2,182,Observations: Reported,,,,,,,,-49.019,-73.504
334070,Galapagos Rift,10347,Confirmed Eruption,Galápagos Rift (Clambake vent area),0,,,1972,,6,,29,1,Observations: Reported,,,,,,,,0.792,-86.15
353010,Fernandina,11667,Confirmed Eruption,SE caldera bench,0,,,1972,,6,,4,45,Observations: Reported,,,,,,,,-0.37,-91.55
357110,Llaima,12064,Confirmed Eruption,,2,,,1971,,12,,1,30,Observations: Reported,,1972,,3,,12,,-38.692,-71.729
357120,Villarrica,12165,Confirmed Eruption,"Summit, NE and SW flanks",2,,,1971,,10,,29,,Observations: Reported,,1972,,2,,21,,-39.42,-71.93
358057,"Hudson, Cerro",12298,Confirmed Eruption,NW part of caldera,3,,,1971,,8,,12,,Observations: Reported,,1971,,9,>,18,,-45.9,-72.97
354020,Ubinas,11790,Confirmed Eruption,,2,?,,1969,,6,,16,15,Observations: Reported,,,,,,,,-16.345,-70.8972
355100,Lascar,11860,Confirmed Eruption,,1,,,1969,,5,,16,,Observations: Reported,,,,,,,,-23.37,-67.73
357010,Tupungatito,14112,Confirmed Eruption,,2,,,1968,,7,,2,182,Observations: Reported,,,,,,,,-33.425,-69.797
353010,Fernandina,11666,Confirmed Eruption,West caldera wall,4,,,1968,,6,,11,,Observations: Reported,,1968,,7,<,4,,-0.37,-91.55
353010,Fernandina,11665,Confirmed Eruption,ESE flank (600 m),2,,,1968,,5,,21,,Observations: Reported,,1968,,5,,23,1,-0.37,-91.55
